sample_id,treatment,rep_group,plate_id,well_id,AUC,n_timepoints
APC-EE1_C2,EE,A,APC-EE1-26,C2,0.04269584509577558,9
APC-EE1_C3,EE,A,APC-EE1-26,C3,0.018502390417368158,9
APC-EE1_C4,EE,A,APC-EE1-26,C4,0.01602426836689612,9
APC-EE1_C5,EE,B,APC-EE1-26,C5,0.05794360787673514,9
APC-EE1_D2,EE,C,APC-EE1-26,D2,0.028397843396950978,9
APC-EE1_D3,EE,C,APC-EE1-26,D3,0.03913532075812805,9
APC-EE1_D4,EE,C,APC-EE1-26,D4,0.034833364977478874,9
APC-EE1_D5,EE,C,APC-EE1-26,D5,0.029450012036168025,9
APC-EE2_A2,EE,C,APC-EE2-26,A2,0.03275124773558036,9
APC-EE2_A3,EE,C,APC-EE2-26,A3,0.030081794651277964,9
APC-EE2_A4,EE,C,APC-EE2-26,A4,0.04886270899454408,9
APC-EE2_A5,EE,C,APC-EE2-26,A5,0.027077996750174027,9
APC-EE2_B2,EE,C,APC-EE2-26,B2,0.04773648920929545,9
APC-EE2_B3,EE,C,APC-EE2-26,B3,0.030800541737899673,9
APC-EE2_B4,EE,C,APC-EE2-26,B4,0.031156037871672863,9
APC-EE2_B5,EE,C,APC-EE2-26,B5,0.08305911570936236,9
APC-EE2_C2,EE,D,APC-EE2-26,C2,0.027066373930073537,9
APC-EE2_C3,EE,D,APC-EE2-26,C3,0.1182128093333296,9
APC-EE2_C4,EE,D,APC-EE2-26,C4,0.11953760379267422,9
APC-EE2_C5,EE,D,APC-EE2-26,C5,0.04616379645374741,9
APC-EE2_D2,EE,D,APC-EE2-26,D2,0.0406332186960568,9
APC-EE2_D3,EE,D,APC-EE2-26,D3,0.0295275707830192,9
APC-EE2_D4,EE,D,APC-EE2-26,D4,0.032067036889592095,9
APC-EE2_D5,EE,D,APC-EE2-26,D5,0.08896535748039677,9
APC-EP1_A2,EP,A,APC-EP1-26,A2,0.027419050211458497,9
APC-EP1_A3,EP,A,APC-EP1-26,A3,0.07367866737222614,9
APC-EP1_A4,EP,A,APC-EP1-26,A4,0.0797003431350955,9
APC-EP1_A5,EP,A,APC-EP1-26,A5,0.6928856818968164,9
APC-EP1_B2,EP,A,APC-EP1-26,B2,0.7386515916109173,9
APC-EP1_B3,EP,A,APC-EP1-26,B3,0.49043166315449005,9
APC-EP1_B4,EP,A,APC-EP1-26,B4,0.06681265090724622,9
APC-EP1_B5,EP,A,APC-EP1-26,B5,0.633388361173864,9
APC-EP1_C2,EP,B,APC-EP1-26,C2,1.0989251030771687,9
APC-EP1_C3,EP,B,APC-EP1-26,C3,0.03829978299359483,9
APC-EP1_C4,EP,B,APC-EP1-26,C4,0.224100893226958,9
APC-EP1_C5,EP,B,APC-EP1-26,C5,0.023747443104358692,9
APC-EP1_D2,EP,B,APC-EP1-26,D2,1.4231815905285128,9
APC-EP1_D3,EP,B,APC-EP1-26,D3,0.03671820352163718,9
APC-EP1_D4,EP,B,APC-EP1-26,D4,0.04136738709714916,9
APC-EP1_D5,EP,B,APC-EP1-26,D5,0.03998243454381323,9
APC-EP2_A2,EP,B,APC-EP2-26,A2,0.020733773123529683,9
APC-EP2_A3,EP,B,APC-EP2-26,A3,0.03240161935939723,9
APC-EP2_A4,EP,C,APC-EP2-26,A4,0.028712146319926215,9
APC-EP2_A5,EP,C,APC-EP2-26,A5,0.4319558783166292,9
APC-EP2_B2,EP,C,APC-EP2-26,B2,0.032997844268051246,9
APC-EP2_B3,EP,C,APC-EP2-26,B3,0.09347733600935215,9
APC-EP2_B4,EP,C,APC-EP2-26,B4,0.08243916686921543,9
APC-EP2_B5,EP,C,APC-EP2-26,B5,0.03524728938016196,9
APC-EP2_C2,EP,C,APC-EP2-26,C2,0.027589352630797002,9
APC-EP2_C3,EP,D,APC-EP2-26,C3,0.3442266495914976,9
APC-EP2_C4,EP,D,APC-EP2-26,C4,0.045938400289216315,9
APC-EP2_C5,EP,D,APC-EP2-26,C5,0.06726763426987448,9
APC-EP2_D2,EP,D,APC-EP2-26,D2,0.15877373701664474,9
APC-EP2_D3,EP,D,APC-EP2-26,D3,0.044888632052446614,9
APC-EP2_D4,EP,D,APC-EP2-26,D4,0.10760276859118223,9
APC-EP2_D5,EP,D,APC-EP2-26,D5,0.040346568061819695,9
