treatment,n,mean,sd,se,median
CC,32,0.09019231092706825,0.23006222170677385,0.04066963926592568,0.03618955465116308
EE,32,0.05635698731203176,0.08234154198178203,0.014556065677168715,0.03379230635652962
CP,32,0.07374206149856334,0.15706546658223805,0.027765514127632396,0.023986760465882676
EP,32,0.22887155136578277,0.34413208941618906,0.06083453351252065,0.06704014258856035
