plate_ID,plate_rep,temperature,plate_well,is_blank,area_mm2.measurement,imageJ_ID,fieldrep_ID,treatment_group,sample_id_group,exclude_from_analysis,exclude_reason
APC-CP2-26,CP2,26,B2,FALSE,43.907,8,C,CP,CPC8,,
APC-CP2-26,CP2,26,B3,FALSE,38.681,5,C,CP,CPC5,,
APC-CP2-26,CP2,26,B4,FALSE,27.866,7,C,CP,CPC7,,
APC-CP2-26,CP2,26,B5,FALSE,17.391,6,C,CP,CPC6,1,DOA
APC-CP2-26,CP2,26,B6,TRUE,,,,CP,CP,,
APC-CP2-26,CP2,26,C1,TRUE,,,,CP,CP,,
APC-CP2-26,CP2,26,C2,FALSE,65.186,12,D,CP,CPD12,,
APC-CP2-26,CP2,26,C3,FALSE,78.785,11,D,CP,CPD11,1,DOA
APC-CP2-26,CP2,26,C4,FALSE,59.131,10,D,CP,CPD10,,
APC-CP2-26,CP2,26,C5,FALSE,42.558,9,D,CP,CPD9,,
APC-CP2-26,CP2,26,C6,TRUE,,,,CP,CP,,
APC-CP2-26,CP2,26,D1,TRUE,,,,CP,CP,,
APC-CP2-26,CP2,26,D2,FALSE,44.906,16,D,CP,CPD16,,
APC-CP2-26,CP2,26,D3,FALSE,83.841,14,D,CP,CPD14,,
APC-CP2-26,CP2,26,D4,FALSE,105.832,13,D,CP,CPD13,,
APC-CP2-26,CP2,26,D5,FALSE,56.741,15,D,CP,CPD15,,
APC-CP2-26,CP2,26,D6,TRUE,,,,CP,CP,,
APC-EE1-26,EE1,26,A1,TRUE,,,,EE,EE,,
APC-EE1-26,EE1,26,A2,FALSE,20.68,3,A,EE,EEA3,,
APC-EE1-26,EE1,26,A3,FALSE,42.21,4,A,EE,EEA4,,
APC-EE1-26,EE1,26,A4,FALSE,54.731,2,A,EE,EEA2,,
APC-EE1-26,EE1,26,A5,FALSE,74.221,1,A,EE,EEA1,,
APC-EE1-26,EE1,26,A6,TRUE,,,,EE,EE,,
APC-EE1-26,EE1,26,B1,TRUE,,,,EE,EE,,
APC-EE1-26,EE1,26,B2,FALSE,39.943,7,A,EE,EEA7,,
APC-EE1-26,EE1,26,B3,FALSE,46.119,6,A,EE,EEA6,,
APC-EE1-26,EE1,26,B4,FALSE,44.249,8,A,EE,EEA8,,
