plate_ID,plate_rep,temperature,plate_well,is_blank,area_mm2.measurement,imageJ_ID,fieldrep_ID,treatment_group,sample_id_group,exclude_from_analysis,exclude_reason
APC-EP1-11,EP1,11,B2,FALSE,29.24,8,A,EP,EPA8,,
APC-EP1-11,EP1,11,B3,FALSE,54.227,6,A,EP,EPA6,,
APC-EP1-11,EP1,11,B4,FALSE,54.952,7,A,EP,EPA7,,
APC-EP1-11,EP1,11,B5,FALSE,29.689,5,A,EP,EPA5,,
APC-EP1-11,EP1,11,B6,TRUE,,,,EP,EP,,
APC-EP1-11,EP1,11,C1,TRUE,,,,EP,EP,,
APC-EP1-11,EP1,11,C2,FALSE,77.705,12,B,EP,EPB12,1,DOA
APC-EP1-11,EP1,11,C3,FALSE,21.254,11,B,EP,EPB11,,
APC-EP1-11,EP1,11,C4,FALSE,23.661,10,B,EP,EPB10,,
APC-EP1-11,EP1,11,C5,FALSE,44.793,9,B,EP,EPB9,,
APC-EP1-11,EP1,11,C6,TRUE,,,,EP,EP,,
APC-EP1-11,EP1,11,D1,TRUE,,,,EP,EP,,
APC-EP1-11,EP1,11,D2,FALSE,44.161,16,B,EP,EPB16,,
APC-EP1-11,EP1,11,D3,FALSE,47.71,15,B,EP,EPB15,,
APC-EP1-11,EP1,11,D4,FALSE,36.655,13,B,EP,EPB13,,
APC-EP1-11,EP1,11,D5,FALSE,41.54,14,B,EP,EPB14,,
APC-EP1-11,EP1,11,D6,TRUE,,,,EP,EP,,
APC-EP2-11,EP2,11,A1,TRUE,,,,EP,EP,,
APC-EP2-11,EP2,11,A2,FALSE,47.684,3,B,EP,EPB3,,
APC-EP2-11,EP2,11,A3,FALSE,44.837,5,B,EP,EPB5,,
APC-EP2-11,EP2,11,A4,FALSE,13.775,6,C,EP,EPC6,,
APC-EP2-11,EP2,11,A5,FALSE,31.709,4,C,EP,EPC4,1,DOA
APC-EP2-11,EP2,11,A6,TRUE,,,,EP,EP,,
APC-EP2-11,EP2,11,B1,TRUE,,,,EP,EP,,
APC-EP2-11,EP2,11,B2,FALSE,40.769,10,C,EP,EPC10,1,DOA
APC-EP2-11,EP2,11,B3,FALSE,32.504,7,C,EP,EPC7,,
APC-EP2-11,EP2,11,B4,FALSE,26.329,9,C,EP,EPC9,1,DOA
APC-EP2-11,EP2,11,B5,FALSE,45.687,8,C,EP,EPC8,,
APC-EP2-11,EP2,11,B6,TRUE,,,,EP,EP,,
APC-EP2-11,EP2,11,C1,TRUE,,,,EP,EP,,
APC-EP2-11,EP2,11,C2,FALSE,45.734,12,C,EP,EPC12,,
APC-EP2-11,EP2,11,C3,FALSE,49.801,13,D,EP,EPD13,,
APC-EP2-11,EP2,11,C4,FALSE,42.054,15,D,EP,EPD15,1,DOA
APC-EP2-11,EP2,11,C5,FALSE,27.716,14,D,EP,EPD14,1,DOA
APC-EP2-11,EP2,11,C6,TRUE,,,,EP,EP,,
APC-EP2-11,EP2,11,D1,TRUE,,,,EP,EP,,
APC-EP2-11,EP2,11,D2,FALSE,50.522,16,D,EP,EPD16,1,DOA
APC-EP2-11,EP2,11,D3,FALSE,53.73,18,D,EP,EPD18,,
APC-EP2-11,EP2,11,D4,FALSE,22.058,17,D,EP,EPD17,,
APC-EP2-11,EP2,11,D5,FALSE,57.252,19,D,EP,EPD19,,
APC-EP2-11,EP2,11,D6,TRUE,,,,EP,EP,,
