1 = alive (sealed or responds to touch); 0 = dead (gaped and unresponsive),,,,,,,,*** no CC2 plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4HR,"Time Check Started (all plates): 9p, 8/15",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/15",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/15",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/15",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/15",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/15",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/15",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/15",,,,,
D,blank,0,0,blank,0,blank,,D,blank,0,0,0,0,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,0,0,0,blank,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,0,0,0,0,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,0,0,0,0,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18HR,"Time Check Started (all plates): 11:00a, 8/16",,,,,,,18HR,"Time Check Started (all plates): 11:00a, 8/16",,,,,,,18HR,"Time Check Started (all plates): 11:00a, 8/16",,,,,,,18HR,"Time Check Started (all plates): 11:00a, 8/16",,,,,,,18HR,"Time Check Started (all plates): 11:00a, 8/16",,,,,,,18HR,"Time Check Started (all plates): 11:00a, 8/16",,,,,,,18HR,"Time Check Started (all plates): 11:00a, 8/16",,,,,,,18HR,"Time Check Started (all plates): 11:00a, 8/16",,,,,
AP-CC1-35,1,2,3,4,5,6,,AP-CC2-35,1,2,3,4,5,6,,AP-EE1-35,1,2,3,4,5,6,,AP-EE2-35,1,2,3,4,5,6,,AP-CP1-35,1,2,3,4,5,6,,AP-CP2-35,1,2,3,4,5,6,,AP-EP1-35,1,2,3,4,5,6,,AP-EP2-35,1,2,3,4,5,6
A,blank,0,1,0,0,blank,,A,blank,0,0,0,0,blank,,A,blank,0,0,0,1,blank,,A,blank,0,0,0,0,blank,,A,blank,1,0,0,1,blank,,A,blank,0,0,0,blank,blank,,A,blank,0,0,0,,blank,,A,blank,0,0,0,0,blank
B,blank,0,0,blank,blank,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,,blank,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank,,B,blank,blank,blank,blank,blank,blank,,B,blank,0,0,0,blank,blank,,B,blank,0,0,0,0,blank
C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,1,blank,,C,blank,0,blank,blank,blank,blank,,C,blank,0,0,blank,blank,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank
D,blank,0,0,blank,0,blank,,D,blank,0,0,0,0,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,0,0,0,blank,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,0,0,0,0,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,0,0,0,0,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20HR,"Time Check Started (all plates): 1:00p, 8/16",,,,,,,20HR,"Time Check Started (all plates): 1:00p, 8/16",,,,,,,20HR,"Time Check Started (all plates): 1:00p, 8/16",,,,,,,20HR,"Time Check Started (all plates): 1:00p, 8/16",,,,,,,20HR,"Time Check Started (all plates): 1:00p, 8/16",,,,,,,20HR,"Time Check Started (all plates): 1:00p, 8/16",,,,,,,20HR,"Time Check Started (all plates): 1:00p, 8/16",,,,,,,20HR,"Time Check Started (all plates): 1:00p, 8/16",,,,,
AP-CC1-35,1,2,3,4,5,6,,AP-CC2-35,1,2,3,4,5,6,,AP-EE1-35,1,2,3,4,5,6,,AP-EE2-35,1,2,3,4,5,6,,AP-CP1-35,1,2,3,4,5,6,,AP-CP2-35,1,2,3,4,5,6,,AP-EP1-35,1,2,3,4,5,6,,AP-EP2-35,1,2,3,4,5,6
A,blank,0,1,0,0,blank,,A,blank,0,0,0,0,blank,,A,blank,0,0,0,1,blank,,A,blank,0,0,0,0,blank,,A,blank,1,0,0,1,blank,,A,blank,0,0,0,blank,blank,,A,blank,0,0,0,,blank,,A,blank,0,0,0,0,blank
B,blank,0,0,blank,blank,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,,blank,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank,,B,blank,blank,blank,blank,blank,blank,,B,blank,0,0,0,blank,blank,,B,blank,0,0,0,0,blank
C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,1,blank,,C,blank,0,blank,blank,blank,blank,,C,blank,0,0,blank,blank,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank
D,blank,0,0,blank,0,blank,,D,blank,0,0,0,0,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,0,0,0,blank,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,0,0,0,0,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,0,0,0,0,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22HR,"Time Check Started (all plates): 3:00p, 8/16",,,,,,,22HR,"Time Check Started (all plates): 3:00p, 8/16",,,,,,,22HR,"Time Check Started (all plates): 3:00p, 8/16",,,,,,,22HR,"Time Check Started (all plates): 3:00p, 8/16",,,,,,,22HR,"Time Check Started (all plates): 3:00p, 8/16",,,,,,,22HR,"Time Check Started (all plates): 3:00p, 8/16",,,,,,,22HR,"Time Check Started (all plates): 3:00p, 8/16",,,,,,,22HR,"Time Check Started (all plates): 3:00p, 8/16",,,,,
AP-CC1-35,1,2,3,4,5,6,,AP-CC2-35,1,2,3,4,5,6,,AP-EE1-35,1,2,3,4,5,6,,AP-EE2-35,1,2,3,4,5,6,,AP-CP1-35,1,2,3,4,5,6,,AP-CP2-35,1,2,3,4,5,6,,AP-EP1-35,1,2,3,4,5,6,,AP-EP2-35,1,2,3,4,5,6
A,blank,0,1,0,0,blank,,A,blank,0,0,0,0,blank,,A,blank,0,0,0,1,blank,,A,blank,0,0,0,0,blank,,A,blank,1,0,0,1,blank,,A,blank,0,0,0,blank,blank,,A,blank,0,0,0,,blank,,A,blank,0,0,0,0,blank
B,blank,0,0,blank,blank,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,,blank,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank,,B,blank,blank,blank,blank,blank,blank,,B,blank,0,0,0,blank,blank,,B,blank,0,0,0,0,blank
C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,1,blank,,C,blank,0,blank,blank,blank,blank,,C,blank,0,0,blank,blank,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank
D,blank,1,0,blank,0,blank,,D,blank,0,0,0,0,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,0,0,0,blank,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,0,0,0,0,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,0,0,0,0,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24HR,"Time Check Started (all plates): 5:00p, 8/16",,,,,,,24HR,"Time Check Started (all plates): 5:00p, 8/16",,,,,,,24HR,"Time Check Started (all plates): 5:00p, 8/16",,,,,,,24HR,"Time Check Started (all plates): 5:00p, 8/16",,,,,,,24HR,"Time Check Started (all plates): 5:00p, 8/16",,,,,,,24HR,"Time Check Started (all plates): 5:00p, 8/16",,,,,,,24HR,"Time Check Started (all plates): 5:00p, 8/16",,,,,,,24HR,"Time Check Started (all plates): 5:00p, 8/16",,,,,
AP-CC1-35,1,2,3,4,5,6,,AP-CC2-35,1,2,3,4,5,6,,AP-EE1-35,1,2,3,4,5,6,,AP-EE2-35,1,2,3,4,5,6,,AP-CP1-35,1,2,3,4,5,6,,AP-CP2-35,1,2,3,4,5,6,,AP-EP1-35,1,2,3,4,5,6,,AP-EP2-35,1,2,3,4,5,6
A,blank,0,1,0,0,blank,,A,blank,0,0,0,0,blank,,A,blank,0,0,0,1,blank,,A,blank,0,0,0,0,blank,,A,blank,1,0,0,1,blank,,A,blank,0,0,0,blank,blank,,A,blank,1,0,1,0,blank,,A,blank,0,0,0,0,blank
B,blank,0,0,blank,blank,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,,blank,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank,,B,blank,blank,blank,blank,blank,blank,,B,blank,0,0,0,blank,blank,,B,blank,0,0,0,0,blank
C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,1,blank,,C,blank,0,blank,blank,blank,blank,,C,blank,0,0,blank,blank,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank
D,blank,1,0,blank,0,blank,,D,blank,0,0,0,0,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,0,0,0,blank,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,0,0,0,0,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,0,0,0,0,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26HR,"Time Check Started (all plates): 7:00p, 8/16",,,,,,,26HR,"Time Check Started (all plates): 7:00p, 8/16",,,,,,,26HR,"Time Check Started (all plates): 7:00p, 8/16",,,,,,,26HR,"Time Check Started (all plates): 7:00p, 8/16",,,,,,,26HR,"Time Check Started (all plates): 7:00p, 8/16",,,,,,,26HR,"Time Check Started (all plates): 7:00p, 8/16",,,,,,,26HR,"Time Check Started (all plates): 7:00p, 8/16",,,,,,,26HR,"Time Check Started (all plates): 7:00p, 8/16",,,,,
AP-CC1-35,1,2,3,4,5,6,,AP-CC2-35,1,2,3,4,5,6,,AP-EE1-35,1,2,3,4,5,6,,AP-EE2-35,1,2,3,4,5,6,,AP-CP1-35,1,2,3,4,5,6,,AP-CP2-35,1,2,3,4,5,6,,AP-EP1-35,1,2,3,4,5,6,,AP-EP2-35,1,2,3,4,5,6
A,blank,0,1,0,0,blank,,A,blank,0,0,0,0,blank,,A,blank,0,0,0,1,blank,,A,blank,0,0,0,0,blank,,A,blank,1,0,0,1,blank,,A,blank,0,0,0,blank,blank,,A,blank,1,0,1,0,blank,,A,blank,0,0,0,0,blank
B,blank,0,0,blank,blank,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,0,blank,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank,,B,blank,blank,blank,blank,blank,blank,,B,blank,0,0,0,blank,blank,,B,blank,0,0,0,0,blank
C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,1,blank,,C,blank,0,blank,blank,blank,blank,,C,blank,0,0,blank,blank,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank
D,blank,1,0,blank,0,blank,,D,blank,0,0,0,0,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,0,0,0,blank,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,0,0,0,0,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,0,0,0,0,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28HR,"Time Check Started (all plates): 9:00p, 8/16",,,,,,,28HR,"Time Check Started (all plates): 9:00p, 8/16",,,,,,,28HR,"Time Check Started (all plates): 9:00p, 8/16",,,,,,,28HR,"Time Check Started (all plates): 9:00p, 8/16",,,,,,,28HR,"Time Check Started (all plates): 9:00p, 8/16",,,,,,,28HR,"Time Check Started (all plates): 9:00p, 8/16",,,,,,,28HR,"Time Check Started (all plates): 9:00p, 8/16",,,,,,,28HR,"Time Check Started (all plates): 9:00p, 8/16",,,,,
AP-CC1-35,1,2,3,4,5,6,,AP-CC2-35,1,2,3,4,5,6,,AP-EE1-35,1,2,3,4,5,6,,AP-EE2-35,1,2,3,4,5,6,,AP-CP1-35,1,2,3,4,5,6,,AP-CP2-35,1,2,3,4,5,6,,AP-EP1-35,1,2,3,4,5,6,,AP-EP2-35,1,2,3,4,5,6
A,blank,1,1,1,0,blank,,A,blank,0,0,0,0,blank,,A,blank,0,0,0,1,blank,,A,blank,0,0,0,0,blank,,A,blank,1,1,0,1,blank,,A,blank,0,0,0,blank,blank,,A,blank,1,0,1,0,blank,,A,blank,0,0,0,0,blank
