0 = alive (sealed or responds to touch); 1 = dead (gaped and unresponsive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4HR,"Time Check Started (all plates): 9p, 8/12",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/12",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/12",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/12",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/12",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/12",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/12",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/12",,,,,
LR-CC1-35,1,2,3,4,5,6,,LR-CC2-35,1,2,3,4,5,6,,LR-EE1-35,1,2,3,4,5,6,,LR-EE2-35,1,2,3,4,5,6,,LR-CP1-35,1,2,3,4,5,6,,LR-CP2-35,1,2,3,4,5,6,,LR-EP1-35,1,2,3,4,5,6,,LR-EP2-35,1,2,3,4,5,6
A,blank,0,0,0,0,blank,,A,blank,0,0,0,0,blank,,A,blank,0,0,0,0,blank,,A,blank,0,0,0,0,blank,,A,blank,0,0,0,0,blank,,A,blank,0,0,0,0,blank,,A,blank,0,0,0,0,blank,,A,blank,0,0,0,0,blank
B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank
C,blank,0,0,0,0,blank,,C,blank,1,0,0,0,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank
D,blank,0,0,0,0,blank,,D,blank,0,0,0,0,blank,,D,blank,0,0,0,0,blank,,D,blank,0,0,0,0,blank,,D,blank,0,0,0,0,blank,,D,blank,0,0,0,0,blank,,D,blank,0,0,0,0,blank,,D,blank,0,0,0,0,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6HR,"Time Check Started (all plates): 11p, 8/12",,,,,,,6HR,"Time Check Started (all plates): 11p, 8/12",,,,,,,6HR,"Time Check Started (all plates): 11p, 8/12",,,,,,,6HR,"Time Check Started (all plates): 11p, 8/12",,,,,,,6HR,"Time Check Started (all plates): 11p, 8/12",,,,,,,6HR,"Time Check Started (all plates): 11p, 8/12",,,,,,,6HR,"Time Check Started (all plates): 11p, 8/12",,,,,,,6HR,"Time Check Started (all plates): 11p, 8/12",,,,,
LR-CC1-35,1,2,3,4,5,6,,LR-CC2-35,1,2,3,4,5,6,,LR-EE1-35,1,2,3,4,5,6,,LR-EE2-35,1,2,3,4,5,6,,LR-CP1-35,1,2,3,4,5,6,,LR-CP2-35,1,2,3,4,5,6,,LR-EP1-35,1,2,3,4,5,6,,LR-EP2-35,1,2,3,4,5,6
A,blank,0,0,0,0,blank,,A,blank,0,0,0,0,blank,,A,blank,0,0,0,0,blank,,A,blank,0,0,0,0,blank,,A,blank,0,0,0,0,blank,,A,blank,0,0,0,0,blank,,A,blank,0,0,0,0,blank,,A,blank,0,0,0,0,blank
B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank
