 ,Label,Area,Mean,Min,Max
1,A2-LRC-CP1-22.jpeg,1216,255,255,255
2,A2-LRC-CP1-22.jpeg,2170,255,255,255
3,A2-LRC-CP1-22.jpeg,1146,255,255,255
4,A2-LRC-CP1-22.jpeg,1516,255,255,255
5,A2-LRC-CP1-22.jpeg,2319,255,255,255
6,A2-LRC-CP1-22.jpeg,1848,255,255,255
7,A2-LRC-CP1-22.jpeg,1451,255,255,255
8,A2-LRC-CP1-22.jpeg,1739,255,255,255
9,A2-LRC-CP1-22.jpeg,2330,255,255,255
10,A2-LRC-CP1-22.jpeg,1043,255,255,255
11,A2-LRC-CP1-22.jpeg,1983,255,255,255
12,A2-LRC-CP1-22.jpeg,1408,255,255,255
13,A2-LRC-CP1-22.jpeg,719,255,255,255
14,A2-LRC-CP1-22.jpeg,890,255,255,255
15,A2-LRC-CP1-22.jpeg,816,255,255,255
16,A2-LRC-CP1-22.jpeg,959,255,255,255
