comparison,HR,CI_low,CI_high,p_value_adj
CC / EE,3.0165654077670117,1.47864764092615,6.154046851646811,1.7590138978356717e-4
CC / CP,1.2367762153814716,0.6046341114377943,2.529819899337065,0.5997147059772242
CC / EP,3.9521628878358395,1.912839214444596,8.16565834390956,3.507130925335046e-6
EE / CP,0.40999482795799386,0.20605641569023883,0.8157754195093858,0.001885097245575137
EE / EP,1.3101532218263405,0.6588173431932572,2.6054284733035975,0.5997147059772242
CP / EP,3.1955359738356814,1.5457731874780691,6.606046891483446,1.2191635436726484e-4
