contrast,estimate,SE,df,t.ratio,p.value,comparison,metric
cc - cp,0.07836029985522426,0.12003221337991377,121.73968756564632,0.6528272506914973,0.9143751134516969,treatment,metabolism_per_area_mm2_measurement
cc - ee,0.05793149842612965,0.11800823757089411,121.92980987102875,0.490910631483052,0.960988699313245,treatment,metabolism_per_area_mm2_measurement
cc - ep,-0.2866892378167718,0.1173275460665831,121.1111140413365,-2.4434947071515185,0.07442906537540239,treatment,metabolism_per_area_mm2_measurement
cp - ee,-0.02042880142909461,0.12069549270987774,121.99666042091154,-0.16925902509218319,0.9982668274256238,treatment,metabolism_per_area_mm2_measurement
cp - ep,-0.36504953767199605,0.12123527833742567,120.95705977589543,-3.011083429494666,0.016517778422315832,treatment,metabolism_per_area_mm2_measurement
ee - ep,-0.34462073624290146,0.12014745355826377,116.85719032640733,-2.868314941654445,0.024922672427492465,treatment,metabolism_per_area_mm2_measurement
