1 = alive (0 or responds to touch); 0 = dead (gaped and unresponsive),,,,,,,,*** no CC2 plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4HR,"Time Check Started (all plates): 7p, 8/18",,,,,,,4HR,"Time Check Started (all plates): 7p, 8/18",,,,,,,4HR,"Time Check Started (all plates): 7p, 8/18",,,,,,,4HR,"Time Check Started (all plates): 7p, 8/18",,,,,,,4HR,"Time Check Started (all plates): 7p, 8/18",,,,,,,4HR,"Time Check Started (all plates): 7p, 8/18",,,,,,,4HR,"Time Check Started (all plates): 7p, 8/18",,,,,,,4HR,"Time Check Started (all plates): 7p, 8/18",,,,,
8HR,"Time Check Started (all plates): 10p, 8/18",,,,,,,8HR,"Time Check Started (all plates): 10p, 8/18",,,,,,,8HR,"Time Check Started (all plates): 10p, 8/18",,,,,,,8HR,"Time Check Started (all plates): 10p, 8/18",,,,,,,8HR,"Time Check Started (all plates): 10p, 8/18",,,,,,,8HR,"Time Check Started (all plates): 10p, 8/18",,,,,,,8HR,"Time Check Started (all plates): 10p, 8/18",,,,,,,8HR,"Time Check Started (all plates): 10p, 8/18",,,,,
LRC-CC1-26,1,2,3,4,5,6,,LRC-CC2-26,1,2,3,4,5,6,,LRC-EE1-26,1,2,3,4,5,6,,LRC-EE2-26,1,2,3,4,5,6,,LRC-CP1-26,1,2,3,4,5,6,,LRC-CP2-26,1,2,3,4,5,6,,LRC-EP1-26,1,2,3,4,5,6,,LRC-EP2-26,1,2,3,4,5,6
A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,0,blank,,A,blank,1,1,1,1,blank,,A,blank,0,1,1,1,blank,,A,blank,0,1,0,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank
B,blank,1,1,0,0,blank,,B,blank,1,0,0,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,0,blank,,B,blank,1,1,1,0,blank,,B,blank,1,0,0,1,blank
C,blank,1,1,1,0,blank,,C,blank,1,1,0,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,0,0,1,1,blank,,C,blank,0,1,1,1,blank,,C,blank,1,1,1,1,blank
D,blank,0,1,1,1,blank,,D,blank,0,1,1,1,blank,,D,blank,0,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,0,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9HR,"Time Check Started (all plates): 11p, 8/18",,,,,,,9HR,"Time Check Started (all plates): 11p, 8/18",,,,,,,9HR,"Time Check Started (all plates): 11p, 8/18",,,,,,,9HR,"Time Check Started (all plates): 11p, 8/18",,,,,,,9HR,"Time Check Started (all plates): 11p, 8/18",,,,,,,9HR,"Time Check Started (all plates): 11p, 8/18",,,,,,,9HR,"Time Check Started (all plates): 11p, 8/18",,,,,,,9HR,"Time Check Started (all plates): 11p, 8/18",,,,,
LRC-CC1-26,1,2,3,4,5,6,,LRC-CC2-26,1,2,3,4,5,6,,LRC-EE1-26,1,2,3,4,5,6,,LRC-EE2-26,1,2,3,4,5,6,,LRC-CP1-26,1,2,3,4,5,6,,LRC-CP2-26,1,2,3,4,5,6,,LRC-EP1-26,1,2,3,4,5,6,,LRC-EP2-26,1,2,3,4,5,6
A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,0,blank,,A,blank,1,1,1,1,blank,,A,blank,0,1,1,1,blank,,A,blank,0,1,0,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank
B,blank,1,1,0,0,blank,,B,blank,1,0,0,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,0,blank,,B,blank,1,1,1,0,blank,,B,blank,1,0,0,1,blank
C,blank,1,1,1,0,blank,,C,blank,1,1,0,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,0,0,1,1,blank,,C,blank,0,1,1,1,blank,,C,blank,1,1,1,1,blank
D,blank,0,1,1,1,blank,,D,blank,0,1,1,1,blank,,D,blank,0,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,0,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10HR,"Time Check Started (all plates): 12a, 8/19",,,,,,,10HR,"Time Check Started (all plates): 12a, 8/19",,,,,,,10HR,"Time Check Started (all plates): 12a, 8/19",,,,,,,10HR,"Time Check Started (all plates): 12a, 8/19",,,,,,,10HR,"Time Check Started (all plates): 12a, 8/19",,,,,,,10HR,"Time Check Started (all plates): 12a, 8/19",,,,,,,10HR,"Time Check Started (all plates): 12a, 8/19",,,,,,,10HR,"Time Check Started (all plates): 12a, 8/19",,,,,
LRC-CC1-26,1,2,3,4,5,6,,LRC-CC2-26,1,2,3,4,5,6,,LRC-EE1-26,1,2,3,4,5,6,,LRC-EE2-26,1,2,3,4,5,6,,LRC-CP1-26,1,2,3,4,5,6,,LRC-CP2-26,1,2,3,4,5,6,,LRC-EP1-26,1,2,3,4,5,6,,LRC-EP2-26,1,2,3,4,5,6
A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,0,blank,,A,blank,1,1,1,1,blank,,A,blank,0,1,1,1,blank,,A,blank,0,1,0,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank
B,blank,1,1,0,0,blank,,B,blank,1,0,0,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,0,blank,,B,blank,1,1,1,0,blank,,B,blank,1,0,0,1,blank
C,blank,1,1,1,0,blank,,C,blank,1,1,0,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,0,0,1,1,blank,,C,blank,0,1,1,1,blank,,C,blank,1,1,1,1,blank
D,blank,0,1,1,1,blank,,D,blank,0,1,1,1,blank,,D,blank,0,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,0,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18HR,"Time Check Started (all plates): 8a, 8/19",,,,,,,18HR,"Time Check Started (all plates): 8a, 8/19",,,,,,,18HR,"Time Check Started (all plates): 8a, 8/19",,,,,,,18HR,"Time Check Started (all plates): 8a, 8/19",,,,,,,18HR,"Time Check Started (all plates): 8a, 8/19",,,,,,,18HR,"Time Check Started (all plates): 8a, 8/19",,,,,,,18HR,"Time Check Started (all plates): 8a, 8/19",,,,,,,18HR,"Time Check Started (all plates): 8a, 8/19",,,,,
LRC-CC1-26,1,2,3,4,5,6,,LRC-CC2-26,1,2,3,4,5,6,,LRC-EE1-26,1,2,3,4,5,6,,LRC-EE2-26,1,2,3,4,5,6,,LRC-CP1-26,1,2,3,4,5,6,,LRC-CP2-26,1,2,3,4,5,6,,LRC-EP1-26,1,2,3,4,5,6,,LRC-EP2-26,1,2,3,4,5,6
A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank
B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank
C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank
D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank
