1 = alive (0 or responds to touch); 0 = dead (gaped and unresponsive),,,,,,,,*** no CC2 plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5HR,"Time Check Started (all plates): 7p, 8/18",,,,,,,5HR,"Time Check Started (all plates): 7p, 8/18",,,,,,,5HR,"Time Check Started (all plates): 7p, 8/18",,,,,,,5HR,"Time Check Started (all plates): 7p, 8/18",,,,,,,5HR,"Time Check Started (all plates): 7p, 8/18",,,,,,,5HR,"Time Check Started (all plates): 7p, 8/18",,,,,,,5HR,"Time Check Started (all plates): 7p, 8/18",,,,,,,5HR,"Time Check Started (all plates): 7p, 8/18",,,,,
LRC-CC1-30,1,2,3,4,5,6,,LRC-CC2-30,1,2,3,4,5,6,,LRC-EE1-30,1,2,3,4,5,6,,LRC-EE2-30,1,2,3,4,5,6,,LRC-CP1-30,1,2,3,4,5,6,,LRC-CP2-30,1,2,3,4,5,6,,LRC-EP1-30,1,2,3,4,5,6,,LRC-EP2-30,1,2,3,4,5,6
A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,0,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,0,1,1,blank,,A,blank,1,1,1,0,blank
B,blank,1,1,1,0,blank,,B,blank,1,1,1,1,blank,,B,blank,0,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,0,1,0,1,blank,,B,blank,0,0,1,0,blank,,B,blank,1,1,1,1,blank,,B,blank,1,0,1,0,blank
C,blank,1,1,0,0,blank,,C,blank,1,1,1,,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,0,1,1,1,blank,,C,blank,1,0,1,1,blank,,C,blank,0,0,0,1,blank
D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,0,1,1,0,blank,,D,blank,0,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,0,0,1,blank,,D,blank,1,0,1,1,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7HR,"Time Check Started (all plates): 9p, 8/18",,,,,,,7HR,"Time Check Started (all plates): 9p, 8/18",,,,,,,7HR,"Time Check Started (all plates): 9p, 8/18",,,,,,,7HR,"Time Check Started (all plates): 9p, 8/18",,,,,,,7HR,"Time Check Started (all plates): 9p, 8/18",,,,,,,7HR,"Time Check Started (all plates): 9p, 8/18",,,,,,,7HR,"Time Check Started (all plates): 9p, 8/18",,,,,,,7HR,"Time Check Started (all plates): 9p, 8/18",,,,,
LRC-CC1-30,1,2,3,4,5,6,,LRC-CC2-30,1,2,3,4,5,6,,LRC-EE1-30,1,2,3,4,5,6,,LRC-EE2-30,1,2,3,4,5,6,,LRC-CP1-30,1,2,3,4,5,6,,LRC-CP2-30,1,2,3,4,5,6,,LRC-EP1-30,1,2,3,4,5,6,,LRC-EP2-30,1,2,3,4,5,6
A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,0,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,0,1,1,blank,,A,blank,1,1,1,0,blank
B,blank,1,1,1,0,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,0,1,1,0,blank,,B,blank,1,1,1,1,blank,,B,blank,1,0,1,0,blank
C,blank,1,1,0,0,blank,,C,blank,1,1,1,0,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,0,1,1,1,blank,,C,blank,1,0,1,1,blank,,C,blank,1,0,0,1,blank
D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,0,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,0,1,blank,,D,blank,1,1,1,1,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8HR,"Time Check Started (all plates): 10p, 8/18",,,,,,,8HR,"Time Check Started (all plates): 10p, 8/18",,,,,,,8HR,"Time Check Started (all plates): 10p, 8/18",,,,,,,8HR,"Time Check Started (all plates): 10p, 8/18",,,,,,,8HR,"Time Check Started (all plates): 10p, 8/18",,,,,,,8HR,"Time Check Started (all plates): 10p, 8/18",,,,,,,8HR,"Time Check Started (all plates): 10p, 8/18",,,,,,,8HR,"Time Check Started (all plates): 10p, 8/18",,,,,
LRC-CC1-30,1,2,3,4,5,6,,LRC-CC2-30,1,2,3,4,5,6,,LRC-EE1-30,1,2,3,4,5,6,,LRC-EE2-30,1,2,3,4,5,6,,LRC-CP1-30,1,2,3,4,5,6,,LRC-CP2-30,1,2,3,4,5,6,,LRC-EP1-30,1,2,3,4,5,6,,LRC-EP2-30,1,2,3,4,5,6
A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,0,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank
B,blank,1,1,1,0,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,0,1,1,0,blank,,B,blank,1,1,1,1,blank,,B,blank,1,0,1,0,blank
C,blank,1,1,0,0,blank,,C,blank,1,1,1,0,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,0,1,1,1,blank,,C,blank,1,0,1,1,blank,,C,blank,1,0,0,1,blank
D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.875,,,,,,,,,,,,,,,,0.96875,,,,,,,,,,,,,,,,0.90625,,,,,,,,,,,,,,,,0.84375,,,,,,,,,
9HR,"Time Check Started (all plates): 11p, 8/18",,,,,,,9HR,"Time Check Started (all plates): 11p, 8/18",,,,,,,9HR,"Time Check Started (all plates): 11p, 8/18",,,,,,,9HR,"Time Check Started (all plates): 11p, 8/18",,,,,,,9HR,"Time Check Started (all plates): 11p, 8/18",,,,,,,9HR,"Time Check Started (all plates): 11p, 8/18",,,,,,,9HR,"Time Check Started (all plates): 11p, 8/18",,,,,,,9HR,"Time Check Started (all plates): 11p, 8/18",,,,,
LRC-CC1-30,1,2,3,4,5,6,,LRC-CC2-30,1,2,3,4,5,6,,LRC-EE1-30,1,2,3,4,5,6,,LRC-EE2-30,1,2,3,4,5,6,,LRC-CP1-30,1,2,3,4,5,6,,LRC-CP2-30,1,2,3,4,5,6,,LRC-EP1-30,1,2,3,4,5,6,,LRC-EP2-30,1,2,3,4,5,6
A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,0,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank
