 ,Label,Area,Mean,Min,Max
1,APC-EP2-26.jpeg,11.417,255,255,255
2,APC-EP2-26.jpeg,167.681,255,255,255
3,APC-EP2-26.jpeg,47.684,255,255,255
4,APC-EP2-26.jpeg,31.709,255,255,255
5,APC-EP2-26.jpeg,44.837,255,255,255
6,APC-EP2-26.jpeg,13.775,255,255,255
7,APC-EP2-26.jpeg,32.504,255,255,255
8,APC-EP2-26.jpeg,45.687,255,255,255
9,APC-EP2-26.jpeg,26.329,255,255,255
10,APC-EP2-26.jpeg,40.769,255,255,255
11,APC-EP2-26.jpeg,355.662,255,255,255
12,APC-EP2-26.jpeg,45.734,255,255,255
13,APC-EP2-26.jpeg,49.801,255,255,255
14,APC-EP2-26.jpeg,27.716,255,255,255
15,APC-EP2-26.jpeg,42.054,255,255,255
16,APC-EP2-26.jpeg,50.522,255,255,255
17,APC-EP2-26.jpeg,22.058,255,255,255
18,APC-EP2-26.jpeg,53.730,255,255,255
19,APC-EP2-26.jpeg,57.252,255,255,255
