 ,Label,Area,Mean,Min,Max
1,APC-CC1-26.jpeg,51.399,255,255,255
2,APC-CC1-26.jpeg,30.943,255,255,255
3,APC-CC1-26.jpeg,57.513,255,255,255
4,APC-CC1-26.jpeg,26.815,255,255,255
5,APC-CC1-26.jpeg,107.249,255,255,255
6,APC-CC1-26.jpeg,102.812,255,255,255
7,APC-CC1-26.jpeg,61.176,255,255,255
8,APC-CC1-26.jpeg,40.552,255,255,255
9,APC-CC1-26.jpeg,20.508,255,255,255
10,APC-CC1-26.jpeg,67.355,255,255,255
11,APC-CC1-26.jpeg,37.353,255,255,255
12,APC-CC1-26.jpeg,69.315,255,255,255
13,APC-CC1-26.jpeg,54.482,255,255,255
14,APC-CC1-26.jpeg,67.600,255,255,255
15,APC-CC1-26.jpeg,66.839,255,255,255
16,APC-CC1-26.jpeg,28.660,255,255,255
