 ,Label,Area,Mean,Min,Max
1,APC-CP2-26.jpeg,57.580,255,255,255
2,APC-CP2-26.jpeg,10.772,255,255,255
3,APC-CP2-26.jpeg,49.814,255,255,255
4,APC-CP2-26.jpeg,11.399,255,255,255
5,APC-CP2-26.jpeg,38.681,255,255,255
6,APC-CP2-26.jpeg,17.391,255,255,255
7,APC-CP2-26.jpeg,27.866,255,255,255
8,APC-CP2-26.jpeg,43.907,255,255,255
9,APC-CP2-26.jpeg,42.558,255,255,255
10,APC-CP2-26.jpeg,59.131,255,255,255
11,APC-CP2-26.jpeg,78.785,255,255,255
12,APC-CP2-26.jpeg,65.186,255,255,255
13,APC-CP2-26.jpeg,105.832,255,255,255
14,APC-CP2-26.jpeg,83.841,255,255,255
15,APC-CP2-26.jpeg,56.741,255,255,255
16,APC-CP2-26.jpeg,44.906,255,255,255
