group1,group2,delta_AUC,cohens_d,magnitude
CC,EE,0.033835323615036494,0.15026601706493636,negligible
CC,CP,0.016450249428504912,0.07305718394984273,negligible
CC,EP,0.13867924043871452,0.6158882163330481,medium
EE,CP,0.017385074186531582,0.07720883311509363,negligible
EE,EP,0.172514564053751,0.7661542333979845,medium
CP,EP,0.15512948986721942,0.6889454002828908,medium
