contrast,estimate,SE,df,t.ratio,p.value
CC - EE,0.03383532361503658,0.05629237447681669,124,0.6010640682597469,0.9315469044420241
CC - CP,0.016450249428504912,0.05629237447681668,124,0.2922287357993709,0.9912723582396062
CC - EP,-0.13867924043871455,0.056292374476816696,124,-2.4635528653321925,0.07081947926272303
EE - CP,-0.017385074186531665,0.056292374476816696,124,-0.3088353324603759,0.9897373940153065
EE - EP,-0.17251456405375115,0.056292374476816724,124,-3.064616933591938,0.014055682247574253
CP - EP,-0.15512948986721947,0.056292374476816696,124,-2.7557816011315635,0.03363930010073968
