row_id,col_id,well_id,value,plate_id,base_plate_id,temp_c,t_index,wall_sec,t0_wall_sec,time_hr,is_blank,treatment,rep_group,imagej_label,area_mm2,sample_id,value_t0,fold_change,mean_blank_fc,corrected_fc,metabolism
D,2,D2,381,APC-CC1-26,APC-CC1,26,1,1787229299,1787227520,0.49416666666666664,FALSE,CC,B,16,28.66,APC-CC1_D2,355,1.0732394366197182,1.0077577197887095,0.06548171683100867,0.0022847772795187953
D,3,D3,860,APC-CC1-26,APC-CC1,26,1,1787229299,1787227520,0.49416666666666664,FALSE,CC,B,15,66.839,APC-CC1_D3,734,1.1716621253405994,1.0077577197887095,0.1639044055518899,0.002452227076286149
D,4,D4,677,APC-CC1-26,APC-CC1,26,1,1787229299,1787227520,0.49416666666666664,FALSE,CC,B,14,67.6,APC-CC1_D4,619,1.0936995153473343,1.0077577197887095,0.0859417955586248,0.0012713283366660474
D,5,D5,298,APC-CC1-26,APC-CC1,26,1,1787229299,1787227520,0.49416666666666664,FALSE,CC,B,13,54.482,APC-CC1_D5,275,1.0836363636363637,1.0077577197887095,0.07587864384765419,0.0013927286782360081
A,2,A2,1741,APC-CC1-26,APC-CC1,26,2,1787231145,1787227520,1.0069444444444444,FALSE,CC,A,4,26.815,APC-CC1_A2,1391,1.2516175413371675,1.0259195516457602,0.2256979896914073,0.008416855852746869
A,3,A3,898,APC-CC1-26,APC-CC1,26,2,1787231145,1787227520,1.0069444444444444,FALSE,CC,A,3,57.513,APC-CC1_A3,642,1.398753894080997,1.0259195516457602,0.3728343424352367,0.006482609887073127
A,4,A4,1767,APC-CC1-26,APC-CC1,26,2,1787231145,1787227520,1.0069444444444444,FALSE,CC,A,2,30.943,APC-CC1_A4,1416,1.2478813559322033,1.0259195516457602,0.22196180428644308,0.007173247722794916
A,5,A5,1315,APC-CC1-26,APC-CC1,26,2,1787231145,1787227520,1.0069444444444444,FALSE,CC,A,1,51.399,APC-CC1_A5,1104,1.1911231884057971,1.0259195516457602,0.1652036367600369,0.0032141410681148837
B,2,B2,1671,APC-CC1-26,APC-CC1,26,2,1787231145,1787227520,1.0069444444444444,FALSE,CC,A,8,40.552,APC-CC1_B2,1311,1.2745995423340961,1.0259195516457602,0.2486799906883359,0.006132373019538763
B,3,B3,916,APC-CC1-26,APC-CC1,26,2,1787231145,1787227520,1.0069444444444444,FALSE,CC,A,6,102.812,APC-CC1_B3,697,1.3142037302725968,1.0259195516457602,0.28828417862683664,0.0028039934893479036
B,4,B4,747,APC-CC1-26,APC-CC1,26,2,1787231145,1787227520,1.0069444444444444,FALSE,CC,A,7,61.176,APC-CC1_B4,595,1.2554621848739496,1.0259195516457602,0.22954263322818935,0.0037521680598304784
B,5,B5,1724,APC-CC1-26,APC-CC1,26,2,1787231145,1787227520,1.0069444444444444,FALSE,CC,A,5,107.249,APC-CC1_B5,1391,1.2393961179007909,1.0259195516457602,0.21347656625503064,0.0019904760534366814
C,2,C2,914,APC-CC1-26,APC-CC1,26,2,1787231145,1787227520,1.0069444444444444,FALSE,CC,B,12,69.315,APC-CC1_C2,723,1.26417704011065,1.0259195516457602,0.2382574884648898,0.0034373149890339727
C,3,C3,673,APC-CC1-26,APC-CC1,26,2,1787231145,1787227520,1.0069444444444444,FALSE,CC,B,11,37.353,APC-CC1_C3,520,1.2942307692307693,1.0259195516457602,0.2683112175850091,0.007183123646963004
