"PlateID_well","Silo_Replicate","Field_Replicate","Assay_Replicate","Immune_Priming","Heat_Priming","Assay_Temp","4.5HR","7.5HR","10HR","13HR","16HR","19HR","22HR","25HR"
"AP-CC2-40_B4",2,"C","AP-CC2-40","No","No","40C",0,0,0,1,1,1,1,1
"AP-CC2-40_B5",2,"C","AP-CC2-40","No","No","40C",0,0,0,0,1,1,1,1
"AP-CC2-40_C2",2,"D","AP-CC2-40","No","No","40C",0,0,0,0,1,1,1,1
"AP-CC2-40_C3",2,"D","AP-CC2-40","No","No","40C",0,0,0,0,1,1,1,1
"AP-CC2-40_C4",2,"D","AP-CC2-40","No","No","40C",0,1,1,1,1,1,1,1
"AP-CC2-40_C5",2,"D","AP-CC2-40","No","No","40C",0,0,0,0,1,1,1,1
"AP-CC2-40_D2",2,"D","AP-CC2-40","No","No","40C",0,0,0,1,1,1,1,1
"AP-CC2-40_D3",2,"D","AP-CC2-40","No","No","40C",0,0,0,1,1,1,1,1
"AP-CC2-40_D4",2,"D","AP-CC2-40","No","No","40C",0,0,0,0,1,1,1,1
"AP-CC2-40_D5",2,"D","AP-CC2-40","No","No","40C",0,0,0,0,1,1,1,1
"AP-EE1-40_A2",1,"A","AP-EE1-40","No","Yes","40C",1,1,1,1,1,1,1,1
"AP-EE1-40_A3",1,"A","AP-EE1-40","No","Yes","40C",1,1,1,1,1,1,1,1
"AP-EE1-40_A4",1,"A","AP-EE1-40","No","Yes","40C",0,0,0,1,1,1,1,1
"AP-EE1-40_A5",1,"A","AP-EE1-40","No","Yes","40C",0,0,0,0,1,1,1,1
"AP-EE1-40_B2",1,"A","AP-EE1-40","No","Yes","40C",0,0,0,0,0,1,1,1
"AP-EE1-40_B3",1,"A","AP-EE1-40","No","Yes","40C",0,0,1,1,1,1,1,1
"AP-EE1-40_B4",1,"A","AP-EE1-40","No","Yes","40C",0,0,0,0,1,1,1,1
"AP-EE1-40_B5",1,"A","AP-EE1-40","No","Yes","40C",0,0,0,0,0,1,1,1
"AP-EE1-40_C2",1,"B","AP-EE1-40","No","Yes","40C",0,0,0,0,1,1,1,1
"AP-EE1-40_C3",1,"B","AP-EE1-40","No","Yes","40C",0,0,0,0,1,1,1,1
"AP-EE1-40_C4",1,"B","AP-EE1-40","No","Yes","40C",0,0,0,0,1,1,1,1
"AP-EE1-40_C5",1,"B","AP-EE1-40","No","Yes","40C",0,0,1,1,1,1,1,1
"AP-EE1-40_D2",1,"B","AP-EE1-40","No","Yes","40C",0,0,0,0,1,1,1,1
"AP-EE1-40_D3",1,"B","AP-EE1-40","No","Yes","40C",0,0,0,0,1,1,1,1
"AP-EE1-40_D4",1,"B","AP-EE1-40","No","Yes","40C",0,0,0,0,1,1,1,1
"AP-EE1-40_D5",1,"B","AP-EE1-40","No","Yes","40C",0,0,0,0,1,1,1,1
"AP-EE2-40_A2",2,"C","AP-EE2-40","No","Yes","40C",0,0,0,1,1,1,1,1
"AP-EE2-40_A3",2,"C","AP-EE2-40","No","Yes","40C",0,0,0,1,1,1,1,1
"AP-EE2-40_A4",2,"C","AP-EE2-40","No","Yes","40C",0,0,0,0,1,1,1,1
"AP-EE2-40_A5",2,"C","AP-EE2-40","No","Yes","40C",0,0,0,1,1,1,1,1
"AP-EE2-40_B2",2,"C","AP-EE2-40","No","Yes","40C",1,0,1,1,1,1,1,1
"AP-EE2-40_B3",2,"C","AP-EE2-40","No","Yes","40C",0,0,0,0,1,1,1,1
"AP-EE2-40_B4",2,"C","AP-EE2-40","No","Yes","40C",0,0,0,0,1,1,1,1
"AP-EE2-40_B5",2,"C","AP-EE2-40","No","Yes","40C",0,0,0,0,1,1,1,1
